City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nouakchott,MR,2022-06-12 12:22:53,18.0858,-15.9785,98.53,34,43,10.09
1,Bud,US,2022-06-12 12:22:53,39.447,-86.1758,69.82,97,57,5.99
2,Borogontsy,RU,2022-06-12 12:22:53,62.6683,131.1683,54.14,97,100,5.88
3,Rikitea,PF,2022-06-12 12:22:54,-23.1203,-134.9692,73.06,63,44,11.18
4,Punta Arenas,CL,2022-06-12 12:22:54,-53.15,-70.9167,48.31,81,75,11.5
5,Kapaa,US,2022-06-12 12:22:54,22.0752,-159.319,76.12,86,40,20.71
6,Banswada,IN,2022-06-12 12:22:55,18.3833,77.8833,87.48,51,99,5.66
7,Albany,US,2022-06-12 12:20:57,42.6001,-73.9662,63.63,83,90,4.05
8,Itacarambi,BR,2022-06-12 12:22:55,-15.1022,-44.0919,78.44,36,90,2.68
9,Cabo San Lucas,MX,2022-06-12 12:22:11,22.8909,-109.9124,79.9,71,6,12.03
10,Pevek,RU,2022-06-12 12:22:56,69.7008,170.3133,35.2,66,84,3.09
11,Bayanday,RU,2022-06-12 12:22:56,53.0661,105.5139,67.77,52,82,4.74
12,Komsomolskiy,UZ,2022-06-12 12:18:22,40.4272,71.7189,86.72,28,71,13.8
13,Powell River,CA,2022-06-12 12:22:56,49.8496,-124.5361,55.08,85,73,5.79
14,Bridlington,GB,2022-06-12 12:22:57,54.0831,-0.1919,65.89,61,57,16.84
15,Mataura,NZ,2022-06-12 12:22:57,-46.1927,168.8643,34.48,94,50,2.89
16,Bredasdorp,ZA,2022-06-12 12:22:58,-34.5322,20.0403,77.23,21,100,9.46
17,Bose,IT,2022-06-12 12:22:58,45.4612,8.0137,85.06,45,22,5.12
18,Belmonte,BR,2022-06-12 12:22:58,-15.8631,-38.8828,76.39,76,96,1.9
19,Barinas,VE,2022-06-12 12:22:59,8.6226,-70.2075,71.11,97,100,1.32
20,Kodiak,US,2022-06-12 12:22:59,57.79,-152.4072,44.11,87,0,6.91
21,Chiredzi,ZW,2022-06-12 12:22:59,-21.05,31.6667,75.85,31,0,2.93
22,Alofi,NU,2022-06-12 12:23:00,-19.0595,-169.9187,75.09,94,58,1.14
23,Busselton,AU,2022-06-12 12:23:00,-33.65,115.3333,59.23,57,62,29.91
24,Mahebourg,MU,2022-06-12 12:23:00,-20.4081,57.7,71.26,94,75,10.36
25,Cape Town,ZA,2022-06-12 12:23:01,-33.9258,18.4232,73.27,33,0,23.02
26,Norman Wells,CA,2022-06-12 12:23:01,65.282,-126.8329,44.64,93,100,16.11
27,Arlit,NE,2022-06-12 12:23:01,18.7369,7.3853,106.16,13,7,8.01
28,Mokhsogollokh,RU,2022-06-12 12:23:02,61.4681,128.9203,54.99,87,100,6.91
29,San Cristobal,VE,2022-06-12 12:18:38,7.7669,-72.225,68.18,98,100,4.34
30,Vanimo,PG,2022-06-12 12:23:03,-2.6741,141.3028,79.34,83,36,5.82
31,Ushuaia,AR,2022-06-12 12:21:34,-54.8,-68.3,49.66,71,0,0.0
32,Tabou,CI,2022-06-12 12:23:03,4.423,-7.3528,81.36,73,92,9.19
33,Sao Jose Da Coroa Grande,BR,2022-06-12 12:23:04,-8.8978,-35.1478,79.03,77,33,2.06
34,Jamestown,US,2022-06-12 12:23:04,42.097,-79.2353,64.51,66,88,5.01
35,Port Alfred,ZA,2022-06-12 12:23:04,-33.5906,26.891,82.18,23,54,10.0
36,Hargeysa,SO,2022-06-12 12:23:05,9.56,44.065,91.15,21,83,11.21
37,Kaitangata,NZ,2022-06-12 12:23:05,-46.2817,169.8464,37.29,86,46,4.18
38,Santa Vitoria Do Palmar,BR,2022-06-12 12:23:05,-33.5189,-53.3681,45.41,84,25,9.82
39,Victoria,HK,2022-06-12 12:18:29,22.2855,114.1577,84.38,87,99,11.01
40,Atambua,ID,2022-06-12 12:23:06,-9.1061,124.8925,70.84,80,82,5.77
41,Vaini,TO,2022-06-12 12:23:06,-21.2,-175.2,73.56,100,40,3.44
42,Nemuro,JP,2022-06-12 12:23:06,43.3236,145.575,47.61,99,100,17.31
43,Narsaq,GL,2022-06-12 12:23:07,60.9167,-46.05,53.82,87,100,11.21
44,Hobart,AU,2022-06-12 12:21:58,-42.8794,147.3294,43.27,77,40,9.22
45,Olyka,UA,2022-06-12 12:23:07,50.7186,25.8125,75.92,54,72,8.41
46,Pacific Grove,US,2022-06-12 12:23:07,36.6177,-121.9166,63.25,90,75,5.99
47,Domoni,KM,2022-06-12 12:23:08,-12.2569,44.5319,78.39,71,45,11.52
48,Upernavik,GL,2022-06-12 12:23:08,72.7868,-56.1549,26.47,84,100,14.58
49,Changji,CN,2022-06-12 12:24:09,44.0167,87.3167,101.19,11,20,11.18
50,Sao Filipe,CV,2022-06-12 12:24:09,14.8961,-24.4956,77.63,66,11,9.24
51,Bambous Virieux,MU,2022-06-12 12:24:09,-20.3428,57.7575,71.22,94,75,10.36
52,Evensk,RU,2022-06-12 12:24:10,61.95,159.2333,42.82,90,100,2.89
53,Luziania,BR,2022-06-12 12:23:42,-16.2525,-47.9503,67.98,63,96,2.62
54,El Seibo,DO,2022-06-12 12:24:10,18.7641,-69.0375,78.33,77,87,7.4
55,Puerto Ayora,EC,2022-06-12 12:24:11,-0.7393,-90.3518,71.55,97,88,5.99
56,Port Blair,IN,2022-06-12 12:24:11,11.6667,92.75,84.24,79,75,8.05
57,Barrow,US,2022-06-12 12:24:11,71.2906,-156.7887,28.42,86,100,0.0
58,Asau,RO,2022-06-12 12:24:12,46.4333,26.4,76.12,78,68,10.87
59,La Grande,US,2022-06-12 12:24:12,45.3246,-118.0877,53.06,96,100,1.63
60,Sujangarh,IN,2022-06-12 12:24:13,27.7011,74.4649,107.49,16,0,10.58
61,Atuona,PF,2022-06-12 12:24:13,-9.8,-139.0333,77.88,63,33,14.76
62,Lavrentiya,RU,2022-06-12 12:24:13,65.5833,-171.0,34.72,72,100,10.89
63,Santa Maria,BR,2022-06-12 12:24:14,-29.6842,-53.8069,49.3,46,0,9.22
64,Oranjemund,NA,2022-06-12 12:24:14,-28.55,16.4333,69.6,47,70,15.99
65,Lebu,CL,2022-06-12 12:24:14,-37.6167,-73.65,45.37,90,28,7.56
66,Saint-Philippe,RE,2022-06-12 12:24:15,-21.3585,55.7679,76.59,83,71,15.61
67,Hermanus,ZA,2022-06-12 12:24:15,-34.4187,19.2345,77.81,38,99,19.91
68,Mar Del Plata,AR,2022-06-12 12:24:15,-38.0023,-57.5575,45.09,87,0,4.61
69,Guerrero Negro,MX,2022-06-12 12:24:16,27.9769,-114.0611,63.34,92,38,11.07
70,Carnarvon,AU,2022-06-12 12:24:16,-24.8667,113.6333,71.71,59,11,7.02
71,Denpasar,ID,2022-06-12 12:22:35,-8.65,115.2167,80.26,83,40,4.61
72,Bluff,NZ,2022-06-12 12:24:16,-46.6,168.3333,34.81,79,32,5.75
73,Pisco,PE,2022-06-12 12:24:17,-13.7,-76.2167,55.45,94,100,3.44
74,Kalmunai,LK,2022-06-12 12:24:17,7.4167,81.8167,85.57,70,100,10.36
75,Cockburn Town,TC,2022-06-12 12:24:17,21.4612,-71.1419,80.56,84,17,20.36
76,East London,ZA,2022-06-12 12:20:18,-33.0153,27.9116,83.34,20,0,12.66
77,Fare,PF,2022-06-12 12:24:18,-16.7,-151.0167,79.34,76,7,21.68
78,Severo-Kurilsk,RU,2022-06-12 12:24:18,50.6789,156.125,44.29,92,71,7.76
79,Nikolskoye,RU,2022-06-12 12:24:19,59.7035,30.7861,70.88,54,85,6.13
80,Avarua,CK,2022-06-12 12:24:19,-21.2078,-159.775,76.53,69,100,17.27
81,Shelburne,CA,2022-06-12 12:24:19,44.0787,-80.2041,60.76,99,100,7.92
82,Nago,JP,2022-06-12 12:24:20,26.5881,127.9761,79.65,94,100,5.7
83,Tiksi,RU,2022-06-12 12:24:20,71.6872,128.8694,39.52,76,57,10.22
84,Te Anau,NZ,2022-06-12 12:24:21,-45.4167,167.7167,36.19,98,87,4.45
85,The Valley,AI,2022-06-12 12:24:21,18.217,-63.0578,84.09,74,20,14.97
86,Bengkulu,ID,2022-06-12 12:24:21,-3.8004,102.2655,80.28,76,100,3.85
87,Colmenar Viejo,ES,2022-06-12 12:24:22,40.6591,-3.7676,88.93,27,91,3.44
88,Butaritari,KI,2022-06-12 12:24:22,3.0707,172.7902,81.63,75,19,11.65
89,Edea,CM,2022-06-12 12:24:22,3.8,10.1333,85.91,67,71,4.45
90,Tuktoyaktuk,CA,2022-06-12 12:24:23,69.4541,-133.0374,32.99,95,100,8.93
91,Karagaylinskiy,RU,2022-06-12 12:24:23,54.172,86.5521,80.35,64,82,8.63
92,Abu Samrah,SY,2022-06-12 12:24:23,35.3029,37.1841,87.04,23,0,28.19
93,Caravelas,BR,2022-06-12 12:24:24,-17.7125,-39.2481,76.03,82,100,4.34
94,Floro,NO,2022-06-12 12:24:24,61.5996,5.0328,57.24,100,75,18.41
95,Tasiilaq,GL,2022-06-12 12:24:24,65.6145,-37.6368,39.36,97,100,10.0
96,Beringovskiy,RU,2022-06-12 12:24:25,63.05,179.3167,36.52,69,22,3.85
97,Ancud,CL,2022-06-12 12:25:25,-41.8697,-73.8203,48.22,79,100,10.6
98,Bethel,US,2022-06-12 12:25:26,41.3712,-73.414,65.77,85,20,0.0
99,Iqaluit,CA,2022-06-12 12:25:26,63.7506,-68.5145,37.13,74,75,15.01
100,Jishou,CN,2022-06-12 12:25:26,28.3167,109.7167,66.81,97,100,2.64
101,Faanui,PF,2022-06-12 12:25:27,-16.4833,-151.75,79.43,77,11,17.13
102,Yulara,AU,2022-06-12 12:25:27,-25.2406,130.9889,54.81,43,0,8.55
103,La Sarre,CA,2022-06-12 12:25:27,48.8002,-79.1996,51.1,99,100,2.19
104,Yarim,YE,2022-06-12 12:25:28,14.298,44.3779,79.25,12,24,9.24
105,Makhinjauri,GE,2022-06-12 12:25:28,41.6739,41.694,76.86,78,40,26.46
106,Fuerte Olimpo,PY,2022-06-12 12:25:28,-21.0415,-57.8738,47.7,54,36,5.55
107,Nyurba,RU,2022-06-12 12:25:29,63.2842,118.3319,53.44,80,95,4.59
108,Okhotsk,RU,2022-06-12 12:25:29,59.3833,143.3,41.95,92,99,5.53
109,Rondonopolis,BR,2022-06-12 12:25:30,-16.4708,-54.6356,65.77,52,97,5.55
110,Semnan,IR,2022-06-12 12:25:30,35.5729,53.3971,88.41,19,18,6.26
111,San Patricio,US,2022-06-12 12:25:30,28.017,-97.5169,82.29,95,85,7.11
112,Tacoronte,ES,2022-06-12 12:25:31,28.4769,-16.4102,76.46,75,20,16.11
113,Klaksvik,FO,2022-06-12 12:25:31,62.2266,-6.589,50.92,95,100,16.78
114,Qaanaaq,GL,2022-06-12 12:25:32,77.484,-69.3632,27.93,78,99,4.5
115,Amahai,ID,2022-06-12 12:25:32,-3.3333,128.9167,78.62,86,100,1.97
116,Ouesso,CG,2022-06-12 12:25:33,1.6136,16.0517,94.01,37,72,2.91
117,Rawlins,US,2022-06-12 12:25:33,41.7911,-107.2387,46.29,49,0,0.0
118,Nueva Gerona,CU,2022-06-12 12:25:33,21.8833,-82.8,80.65,71,0,6.29
119,Turbat,PK,2022-06-12 12:25:34,26.0023,63.044,95.56,45,3,19.71
120,Hithadhoo,MV,2022-06-12 12:25:34,-0.6,73.0833,83.07,72,100,7.45
121,Kalabo,ZM,2022-06-12 12:25:34,-14.97,22.6814,79.09,26,1,4.38
122,New Norfolk,AU,2022-06-12 12:25:35,-42.7826,147.0587,42.93,82,74,3.67
123,Saldanha,ZA,2022-06-12 12:25:35,-33.0117,17.9442,62.65,68,100,19.73
124,Gongzhuling,CN,2022-06-12 12:25:35,43.5008,124.8198,63.23,86,100,14.54
125,Krasnoselkup,RU,2022-06-12 12:25:36,65.7,82.4667,70.75,58,62,18.23
126,Hammonton,US,2022-06-12 12:25:36,39.6365,-74.8024,66.15,96,100,3.56
127,Noumea,NC,2022-06-12 12:25:37,-22.2763,166.4572,73.0,99,98,4.07
128,Swan Hill,AU,2022-06-12 12:24:37,-35.3378,143.5544,51.55,68,96,6.24
129,Samarai,PG,2022-06-12 12:25:37,-10.6167,150.6667,80.78,81,74,11.12
130,Camacha,PT,2022-06-12 12:25:38,33.0833,-16.3333,67.42,68,40,12.66
131,Fortuna,US,2022-06-12 12:25:38,40.5982,-124.1573,59.94,95,100,9.22
132,Grand-Lahou,CI,2022-06-12 12:25:38,5.1367,-5.0242,82.47,71,76,8.23
133,Lakota,CI,2022-06-12 12:25:39,5.8528,-5.6883,79.52,84,97,3.44
134,Yellowknife,CA,2022-06-12 12:25:39,62.456,-114.3525,55.92,76,40,16.11
135,Kodinsk,RU,2022-06-12 12:25:39,58.6881,99.1844,76.86,43,100,2.84
136,Georgetown,MY,2022-06-12 12:25:08,5.4112,100.3354,84.13,81,20,4.61
137,Motygino,RU,2022-06-12 12:25:40,58.1831,94.7592,68.49,88,70,2.84
138,Lagoa,PT,2022-06-12 12:25:40,39.05,-27.9833,61.38,71,2,20.07
139,Lompoc,US,2022-06-12 12:26:41,34.6391,-120.4579,57.78,96,100,3.44
140,Dali,CN,2022-06-12 12:26:41,25.7,100.1833,68.07,80,83,5.61
141,Kahului,US,2022-06-12 12:26:41,20.8947,-156.47,76.84,84,20,14.97
142,Saint-Georges,GD,2022-06-12 12:25:07,12.0564,-61.7485,80.28,83,20,25.32
143,Hovd,MN,2022-06-12 12:26:42,48.0056,91.6419,82.8,13,41,8.88
144,Tutoia,BR,2022-06-12 12:26:42,-2.7619,-42.2744,79.83,79,63,7.31
145,Maltahohe,NA,2022-06-12 12:26:42,-24.8333,16.9833,74.88,18,2,17.94
146,San Policarpo,PH,2022-06-12 12:26:43,12.1791,125.5072,82.6,77,95,9.64
147,Provideniya,RU,2022-06-12 12:26:44,64.3833,-173.3,35.58,71,90,2.93
148,Saint-Pierre,RE,2022-06-12 12:26:44,-21.3393,55.4781,76.68,65,20,27.63
149,Macklin,CA,2022-06-12 12:26:44,52.3334,-109.9348,52.14,85,63,5.35
150,Guapore,BR,2022-06-12 12:26:45,-28.8456,-51.8903,39.7,68,0,2.33
151,Pucallpa,PE,2022-06-12 12:26:45,-8.3791,-74.5539,62.62,85,59,3.18
152,Urumqi,CN,2022-06-12 12:24:02,43.801,87.6005,97.75,11,20,11.18
153,Drayton Valley,CA,2022-06-12 12:26:45,53.2168,-114.9854,46.24,87,92,4.97
154,Sheregesh,RU,2022-06-12 12:26:46,52.9209,87.9869,66.02,91,97,5.12
155,Quang Ngai,VN,2022-06-12 12:24:39,15.1167,108.8,83.34,80,78,4.7
156,Hervey Bay,AU,2022-06-12 12:26:46,-25.2986,152.8535,57.02,62,100,1.01
157,Cambui,BR,2022-06-12 12:26:46,-22.6122,-46.0575,59.14,69,100,2.8
158,Foam Lake,CA,2022-06-12 12:26:47,51.65,-103.5343,53.35,92,59,6.42
159,Tarsus,TR,2022-06-12 12:26:47,36.9188,34.8784,86.38,54,1,17.63
160,Moranbah,AU,2022-06-12 12:26:47,-22.0016,148.0466,50.04,61,51,6.31
161,Half Moon Bay,US,2022-06-12 12:26:48,37.4636,-122.4286,65.88,92,100,11.5
162,Isla Vista,US,2022-06-12 12:26:48,34.4133,-119.861,61.83,88,100,4.61
163,Vangaindrano,MG,2022-06-12 12:26:48,-23.35,47.6,72.52,66,52,6.49
164,Hualmay,PE,2022-06-12 12:26:49,-11.0964,-77.6139,61.27,85,42,8.32
165,Pitimbu,BR,2022-06-12 12:26:49,-7.4706,-34.8086,81.19,80,14,3.96
166,Leningradskiy,RU,2022-06-12 12:26:49,69.3833,178.4167,35.11,71,52,7.45
167,Neuquen,AR,2022-06-12 12:23:12,-38.9516,-68.0591,35.49,75,0,5.75
168,Omboue,GA,2022-06-12 12:26:50,-1.5746,9.2618,79.29,77,46,8.05
169,Merauke,ID,2022-06-12 12:26:50,-8.4667,140.3333,78.58,87,100,16.15
170,Kolosovka,RU,2022-06-12 12:22:07,56.4678,73.611,65.82,82,38,12.95
171,Sitka,US,2022-06-12 12:26:51,57.0531,-135.33,48.09,87,100,3.44
172,Cherskiy,RU,2022-06-12 12:26:51,68.75,161.3,57.87,34,31,11.39
173,Esperance,AU,2022-06-12 12:26:51,-33.8667,121.9,61.54,79,80,14.09
174,High Level,CA,2022-06-12 12:26:52,58.5169,-117.136,46.51,100,75,2.3
175,Bojnurd,IR,2022-06-12 12:26:52,37.4747,57.329,82.35,23,20,16.11
176,Bereda,ES,2022-06-12 12:26:52,43.2686,-7.5406,65.57,91,100,7.72
177,Vila Do Maio,CV,2022-06-12 12:26:53,15.1333,-23.2167,83.19,87,49,13.47
178,San Juan De Uraba,CO,2022-06-12 12:26:53,8.7592,-76.5297,74.89,93,95,7.02
179,Ilo,PE,2022-06-12 12:26:51,-17.6394,-71.3375,60.53,77,48,4.99
180,Castro,BR,2022-06-12 12:26:53,-24.7911,-50.0119,42.37,50,67,6.49
181,Formosa,AR,2022-06-12 12:26:54,-26.1775,-58.1781,42.78,87,0,0.0
182,Kloulklubed,PW,2022-06-12 12:26:54,7.0419,134.2556,75.7,75,88,8.48
183,Astoria,US,2022-06-12 12:26:54,46.1879,-123.8313,53.49,90,100,3.44
184,Carnot,CF,2022-06-12 12:26:55,4.9409,15.8665,73.06,93,100,4.63
185,Abbeville,FR,2022-06-12 12:26:55,50.1,1.8333,70.25,54,63,11.03
186,Nha Trang,VN,2022-06-12 12:24:16,12.25,109.1833,86.0,86,66,9.28
187,Tahta,EG,2022-06-12 12:27:56,26.7693,31.5021,105.75,13,0,17.78
188,Impfondo,CG,2022-06-12 12:27:56,1.6381,18.0667,95.45,37,73,2.04
189,Cusset,FR,2022-06-12 12:27:56,46.13,3.4596,82.74,37,25,4.09
190,Sur,OM,2022-06-12 12:23:32,22.5667,59.5289,92.86,52,3,12.48
191,Aswan,EG,2022-06-12 12:27:57,24.0934,32.907,113.04,5,0,12.1
